"","klasifikasi","score","text"
"95","Positif",2,"penyaluran bantuan sosial dari polresta p ambon amp  pp lease  polripresisi thankyoupolisi basudaramanise "
"96","Positif",1," pemerintah kota pemkot bandung menyalurkan bantuan sosial dalam rangka pengendalian inflasi tahun  kepada "
"97","Positif",1,"   laaa mereka poto trus posting  di ig kecuali mereka pawai pake m "
"98","Netral",0," lagi keadaan kyk gini bukannya sibuk cari logistik buat survive malah bikin tenda buat hs pikiranny "
"99","Netral",0," lagi keadaan kaya gini bukannya sibuk cari logistik buat survive malah bikin tenda buat hs pikiranny "
"100","Netral",0,"hood art president of indonesian semoga dapat bansos frlegends  art  presidenjokowihebat "
"101","Netral",0,"  pancasila itu yg gimana pir  bela koruptor bansosapa gongongin siapapun yg coba usik majikan pir"
"102","Netral",0," prrlu bansos kak"
"103","Negatif",-4,"   ya iya aman tukang maen isu saranya kenyang makan bansos wan abud turun lapar lagi"
"104","Netral",0," anj wkwkwk dpt bansos dr durex kah ini"
"105","Positif",1," manusia manusia misquin komentar klo elu masih nonton bola modal stb bansos mah diem broo kecuali ke "
"106","Positif",1,"antri wudhu seperti antri bansos "
"107","Negatif",-1," kaya survei bansos saja "
"108","Netral",0,"  lagi keadaan kaya gini bukannya sibuk cari logistik buat survive malah bikin tenda buat ngewe pikirannya pad"
"109","Negatif",-2,"antre bansos perempuan lansia di bogor meninggal dunia   sindonews bukanberitabiasa "
"110","Netral",0,"  lagi keadaan kaya gini bukannya sibuk cari logistik buat survive malah bikin tenda buat ngewe pikirannya pad"
"111","Netral",0,"  lagi keadaan kaya gini bukannya sibuk cari logistik buat survive malah bikin tenda buat ngewe pikirannya pad"
"112","Negatif",-2,"perempuan lansia meninggal dunia saat antre bansos di cigudeg bogor "
"113","Negatif",-2,"cara cek bansos bbm  online pakai ktp di   pikiran rakyat depok  "
"114","Negatif",-1,"trima kasih menfess aku jadi inget kalo aku belum ambil bansos liben"
"115","Netral",0,"wali kota palangka raya susuri sungai kahayan salurkan bansos banjir  antara news kalimantan tengah "
"116","Negatif",-2,"perempuan lansia meninggal dunia saat antre bansos di cigudeg bogor "
"117","Netral",0,"   dapet bansos dari eti"
"118","Netral",0,"  lagi keadaan kaya gini bukannya sibuk cari logistik buat survive malah bikin tenda buat ngewe pikirannya pad"
"119","Netral",0,"  lagi keadaan kaya gini bukannya sibuk cari logistik buat survive malah bikin tenda buat ngewe pikirannya pad"
"120","Positif",1,"pemerintah kota pemkot bandung menyalurkan bantuan sosial dalam rangka pengendalian inflasi tahun  kepada  "
"121","Negatif",-3," kalau liat doktrin regresif apokaliptik macem azab gitu cuma penasaran kok bentuk dosanya selalu personal ya macem z"
"122","Positif",1,"  narasi cocok untuk junjunganmu bansos apa bbm naik yg merata ke rakyat"
"123","Netral",0," korupsi bansos covid pendukung hmmmm loh"
"124","Negatif",-2," bingung harus ngapain saat jadi kelompok masyarakat pokmas di program bansos permakanan  yuk ikutin lima  langkah yang"
"125","Negatif",-5,"ketika bansos dijadikan alat politik bahkan dijadikan senjata untuk mengintimidasi masyarakat parah tp pakta "
"126","Netral",0," bansos aja dikorup"
"127","Negatif",-1,"tiga bansos di gunungkidul cair bersamaan untuk puluhan ribu orang  beritajogja jogja "
"128","Netral",0,"     owh gw kira kadrun itu yg mereka yg nyolong duit rakyat "
"129","Negatif",-2,"ketika bansos dijadikan alat politik  susah dilawan wkwkw"
"130","Netral",0,"  lagi keadaan kaya gini bukannya sibuk cari logistik buat survive malah bikin tenda buat ngewe pikirannya pad"
"131","Negatif",-1,"kapolres seram bagian timur akbp agus joko nugroho sh sik pimpin giat penyaluran bansos presisi untuk ruma "
"132","Negatif",-1,"kapolres seram bagian timur akbp agus joko nugroho sh sik pimpin giat penyaluran bansos presisi untuk ruma "
"133","Positif",1,"  maen lah ke akar rumput biar tahu bagaimana bansos kalian salurkan kepada para kpm yang kal "
"134","Negatif",-2,"cara daftar bansos desember ada bpnt dan blt bbm yang bisa didapatkan usai unduh aplikasi ini "
"135","Positif",1," bansos bantuan sosis"
"136","Netral",0,"  lagi keadaan kaya gini bukannya sibuk cari logistik buat survive malah bikin tenda buat ngewe pikirannya pad"
"137","Netral",0," gaslah pandemi lagi bansos lagi"
"138","Negatif",-1,"kouta bansos masuk space ngeleg kontol"
"139","Netral",0,"bansos lagi tren"
"140","Negatif",-1,"polsek rambang kapak tengah memberikan bansos terhadap warga yang sakit  polsekrambangkapaktengah  poldasumsel "
"141","Netral",0,"  lagi keadaan kaya gini bukannya sibuk cari logistik buat survive malah bikin tenda buat ngewe pikirannya pad"
"142","Netral",0,"  lagi keadaan kaya gini bukannya sibuk cari logistik buat survive malah bikin tenda buat ngewe pikirannya pad"
"143","Negatif",-1," bansos belum terbukti"
"144","Negatif",-1," bapak mauu nnya anak kos apa ngga dapat bansos ya pak "
"145","Negatif",-1," terima kasih bapak wagub fast respon dan bikisan sembakonyatapi sampai saat inipun bansos juga belum "
"146","Negatif",-1," yang sabar ya semoga habisini hepiele ngasih bansos "
"147","Netral",0," pity  rate on fate ada  blm beli bansos"
"148","Netral",0,"      kalo sayaaa ndak sukak yang namanya ban "
"149","Negatif",-2," cici mau nanya bapakkalo ada masyarakat menengah kebawah gak dapet bansos siapa yang harus di salahkan "
"150","Negatif",-1,"     lha ibuibu yang diteriakin maling di depan banyak orang "
"151","Positif",1," harapan kami cuman menadapatkan bansos walaupun beras sebutir ataupun blt rp  asal benarbenar me "
"152","Positif",1,"udah dulu yaaa aku dipanggil pak rt  huhuhu geumeuusss niiii kader bansos kaliii "
"153","Negatif",-1,"      bansos pemko surakarta iya klo pemkab klaten bukan"
"154","Negatif",-4,"  ya iya aman tukang maen isu saranya kenyang makan bansos wan abud turun lapar lagi"
"155","Negatif",-2," bingung harus ngapain saat jadi kelompok masyarakat pokmas di program bansos permakanan  yuk ikutin lima  langkah yang"
"156","Netral",0," bapak wagub apakah hanya tim dinsos cuman ngasih bikisan semnako dari bapak emil sajatidak lanjut u "
"157","Negatif",-1,"kemarin saya beli ban tapi ban nya kepotong dan habis ternyata itu bansos"
"158","Positif",1," omonganmu dah ky yg paling suci z drunzolam zolim giliran dpt bansos paling depan"
"159","Negatif",-2,"      kalo bansos mungkin wewenang dia ya mas"
"160","Netral",0,"siswa spn polda jatim salurkan bansos kepada warga kurangmampu "
"161","Positif",1,"penyaluran bansos tak tepat sasaran warga melapor ke ketua dprd sumutsejumlah "
"162","Negatif",-3," proyek lagi nih bansos buat org miskin aja diembat apalagi proyek gede coba pelototi sama sama"
"163","Netral",0," supir angkutan umum dapatkan bansos pembelian bbm dari pemkabmadina "
"164","Positif",2,"harapan mendapatkan bantuan bansos kok susah yawalaupun respon dari bapak wagub emil positif jelas dan langsung "
"165","Netral",0,"reivanka asik besok dapet bansos pkh ke sono ah  tanbeachboy yok besok gua juga dapet bansos pkh  admin p "
"166","Netral",0,"rezim tdk akan berhenti menjarah uang negara sblm negara ini hancur olh mereka sprt bumiputra asabri bansos tel "
"167","Netral",0,"pake wifi dirumah malah jaringan bansos"
"168","Negatif",-1," ksyak pengajusn bansos keluarha saya pak anis dari awal pamdemi hingga saat ini belum permah dapat "
"169","Negatif",-1,"   mohon juga pak  untuk ikut serta menilik rsud trutama disekitaran "
"170","Negatif",-3,"lbh sikap ciamis menyayangkan adanya dugaan penyimpangan penyaluran bansos   bansosciamis "
"171","Negatif",-1," kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjung perak"
"172","Netral",0,"  ayo semangat menjemput bansos"
"173","Negatif",-1,"baca ini berasa baca list penerima bansos "
"174","Negatif",-1,"pendistribusian bansos blt bbmsembako dan pkh di balai desa sokolelah keckadur kabpamekasan "
"175","Netral",0,"curhat kepala desa saguling ciamis soal data penerima bansos pemerintah  ciamis bansos blt kecamatanbaregbeg"
"176","Netral",0," lagi keadaan kaya gini bukannya sibuk cari logistik buat survive malah bikin tenda buat ngewe pikir "
"177","Negatif",-1,"    maklum china kerja keras gak keganggu ibadah pribumi cukup amplop demo dan "
"178","Negatif",-2,"kejati tetapkan  tersangka dugaan korupsi bansos di kementerian agama jawa barat "
"179","Negatif",-2,"info bansos ga pernah dibuka "
"180","Netral",0,"bhabinkantibmas giat bansos   kapoldasumsel poldasumsel  ditsamapta  kapolresbanyuasin polisibanyuasin "
"181","Positif",5,"pasuruan program keluarga harapan pkh merupakan bantuan sosial bansos bersyarat kepada keluarga penerima manf "
"182","Netral",0,"  kalo kata mertua saya yg org sana mah enak ibarat dapet bansos rb kepotong rb dari kelura "
"183","Positif",1,"   intelektelor penerima bansos "
"184","Negatif",-1,"   daripada ikut giveaway mending bantu keluarga lu antri bansos "
"185","Netral",0," gtau a  nunggu bansos buat dpetin wawan"
"186","Positif",2,"pada tanggal  desember  giat penyaluran bansos polri berupa  karung beras oleh bripka ida bagus darmaya bhabi "
"187","Netral",0," kapan a dapet bansos"
"188","Negatif",-1,"kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjun "
"189","Negatif",-2,"bingung harus ngapain saat jadi kelompok masyarakat pokmas di program bansos permakanan  yuk ikutin lima  lang "
"190","Positif",1,"abang sicepat ngasih paket udah kek ngasih bansos bonus karung ceunah pengiriman malam wkwk "
"191","Negatif",-1,"sidokkes polres oki polda sumsel memberikan bansos kepada masyarakat kayuagung  mabespolri okiupdate kapolri "
"192","Negatif",-1," emang ga dikasih pak nder mestinya kn dpet bansos"
"193","Positif",1,"sidokkes polres oki polda sumsel menerima bansos dari ibu ketua bhayangkari cab oki dalam rangka giat bhayangkari p "
"194","Negatif",-1,"gak bosen apa ya kasih notif bansos mulu coba kasih notif yang lain dong "
"195","Negatif",-1,"sidokkes polres oki polda sumsel memberikan bansos kepada masyarakat kayuagung  mabespolri okiupdate kapolri "
"196","Negatif",-2,"kek lu tuh tipe cowo gua bangettt anjrottt udah suka alam anak motor classic anak komunitas bansos yaa emang se "
"197","Netral",0," sena are you ok gacha saha kamu rusti daijobu bansos lg berdatangan btw itu editan"
"198","Negatif",-1,"  apakah juga diabaikan  tapi sumpah pns kan terkait ucapan perbuatan   bagaimana dg t "
"199","Negatif",-1,"sidokkes polres oki polda sumsel memberikan bansos kepada masyarakat kayuagung  mabespolri okiupdate kapolri "
"200","Netral",0," cbong pemuja bansos"
"201","Positif",1,"sidokkes polres oki polda sumsel menerima bansos dari ibu ketua bhayangkari cab oki dalam rangka giat bhayangkari p "
"202","Positif",2," saya pikir dana dana proyek anggaran bansos pajak dll sebagainya bisa di kirim lewat rupiah digita "
"203","Negatif",-2," selain umkm tukang ojek dan nelayan juga akan mendapat bantuan tersebut "
"204","Netral",0,"aneh aja gitu sultan ko dapet bansos"
"205","Netral",0,"baubau ada bansos nih "
"206","Negatif",-2,"warga cigudeg meninggal saat antre bansos ini penjelasan polisi dan puskemas bogor antrebansos wargameninggal "
"207","Negatif",-1," iya ya aku juga dari kemarin bisa dapet b juga cuma ngandelin dari bansos fripull aja"
"208","Netral",0," tapi bansos pake misi  trus gada auto live jugaaa "
"209","Positif",2,"tata cara penyaluran bantuan sosial permakanan untuk lansia dibagikan tiap hari oleh kemensos "
"210","Negatif",-1,"kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjun "
"211","Netral",0," merampok bansos kaya temen lu"
"212","Netral",0,"lu pikir bansos ikhlasin "
"213","Negatif",-1,"kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjun "
"214","Netral",0," bissmillah bansos"
"215","Netral",0,"   pengajuan dtks amp  pengusulan bansos bisa  jalur usulan desausulan individu "
"216","Negatif",-3," pejabrut sini ga peduli ky gnian transport publik setengah hati giliran mo deket pemilu gelontorin bansos biar kepilih lagi"
"217","Positif",1,"pemerintah provinsi provinsi lampung melaunching bantuan sosial tunai penanganan dampak inflasi daerah  di desa "
"218","Netral",0,"   bongfir meningan maling bansos aja "
"219","Positif",2,"jangan salah sasaran ini  kriteria lansia penerima bantuan sosial permakanan dari kemensos "
"220","Negatif",-2,"bansos polri ini dilaksanakan untuk mampu menghibur amp  menghalau trauma pasca gempa cianjur bagi korban gempa cianju "
"221","Netral",0," korupsi dana bansos korupsi dana pembangunan mesjid menyelewengkan dana bantuan korban bencana"
"222","Positif",1,"dear  yg terhormatsaya mohon ijin mau bertanyaapakah orang seperti saya tidak layak menerima bansos y "
"223","Negatif",-2,"emakemak di bogor meninggal saat antre bansos miliki penyakit komplikasi lengkapcepatberitanya beritaterkini "
"224","Positif",2,"  gambar khusus kaum munfiqun yg masih mnggunakanjd penerima barang amp  jasa brsubsidi dri pemerintah seperti"
"225","Negatif",-1,"kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjun "
"226","Positif",2," discusshe  video replay hari  sesi   program bantuan sosial penggerak ekonomi   discusshe"
"227","Netral",0," bansos nya ada gak"
"228","Netral",0,"  iya juga sih tapi yg maling bansos lebih hebat lagi loh uang katah orang miskin itu "
"229","Netral",0,"apaan nih aplikasi bansos kok error mulu tiap log in kalo fungsinya buat aplikasi buat mempermudah kalangan masyara "
"230","Negatif",-1,"kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjun "
"231","Netral",0,"bhabinkamtibmas kelurahan bugih monitoring dan pengamanan pemberian bansos di jln dirgahayu kelurahan bugih kecam "
"232","Netral",0,"bru gacha sekali dpt biru mau nyoba peruntungan lagi dehmumpung banyak bansos "
"233","Positif",1," anak sosial mukanya mirip bansos kali yak"
"234","Negatif",-1,"kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjun "
"235","Negatif",-1," gak ngaruh la mayoritas kl mentalnya garong bansos ya mudah ditaklukkan"
"236","Netral",0,"polsek rkt polres prabumulih memberikan bansos kepada warga yang sakit "
"237","Negatif",-1,"kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjun "
"238","Netral",0," makasi lele atas bansos meme nya  "
"239","Negatif",-1,"rill min ini antrian bansos aja kalah panjang "
"240","Negatif",-2,"perlu diketahui bersama pasien kami di dua rs di depok  menggunakan bpjs dan bansos walaupun pemkot depok be "
"241","Negatif",-1," kapolres cirebon kota akbp drm fahri siregar sh sik mh berikan bansos beras  tonmie  dus dan obat obatan kpd"
"242","Positif",1,"berita terbaru  kpm di tiga kecamatan boltim terima bltbbm  bansossembako bltbbm imrangolonda pkhboltim"
"243","Positif",1,"ini aku belabelain relay dari shinjuku sampai lb  biar kekejar lb malah kagak ada banner baru  apakah new serva "
"244","Netral",0,"pemprov dki cairkan bansos kjp periode desember  begini detailnya "
"245","Negatif",-1,"kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjun "
"246","Netral",0," kenyang bansos"
"247","Negatif",-2,"  iya teriak rezim dzolim dan penguasa pembohong tapi dapat blt atau bansos lainnya mau juga entepantek"
"248","Positif",1,"banser kalteng serahkan  paket bantuan gubernur kalteng      "
"249","Negatif",-2,"siswa spn polda jatim salurkan bansos warga kurang mampu   news berita kabar popular klikwarta"
"250","Positif",1,"kan apalagi baik bgt bagi bansos game peod satu ini "
"251","Negatif",-1," kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjung pera"
"252","Negatif",-2,"sangat di sayang kan sekali seorang nenek miskin tidak mendapat kan bansos lihat video ronisan tiktok "
"253","Negatif",-1,"kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjun "
"254","Positif",1,"pembagian bansos harus mudah cepat dan tepat sasaran  keren    bantuanbbmuntukrakyat  bltbbmtepatsasaran "
"255","Negatif",-3,"    hoax kelebihan bayar bukan korupsi tapi korupsi bansos malah lu "
"256","Negatif",-1,"kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjun "
"257","Netral",0,"terimakasih pak presiden bansos bbm sangat membantu kami bantuanbbmuntukrakyat bltbbmtepatsasaran "
"258","Negatif",-2,"resmi diluncurkan dinsos sebut penyaluran bansos ditarget selesai empat hari kerja  "
"259","Negatif",-1,"program penyaluran bansos kepada masyarakat sangat membantu bantuanbbmuntukrakyat bltbbmtepatsasaran "
"260","Netral",0,"  sudah jelas karena semua proyeknya selalu ada permintaan cash back contoh bansos pagu rb per paket dil"
"261","Negatif",-2,"bansos blt bbm dan bpnt rp desember  sudah cair cek jadwal dan cara cek penerima di sini "
"262","Positif",1," gambar khusus kaum munfiqun yg masih mnggunakanjd penerima barang amp  jasa brsubsidi dri pemerintah se "
"263","Positif",3," metro  guna mengantisipasi tumpang tindih data bantuan sosial bansos dari pemeri     "
"264","Negatif",-2,"warga sukaraksa cigudeg meninggal saat antre bansos di kantor desa bogor antrebansos meninggal riwayat jantung "
"265","Netral",0,"ratusan warga desa sukamulya pangatikan garut datangi balai desa untuk dapatkan bansos "
"266","Negatif",-1,"seorang ibu di cigudeg bogor meninggal saat antre bansos  bogor cigudegbogor "
"267","Positif",1," gambar khusus kaum munfiqun yg masih mnggunakanjd penerima barang amp  jasa brsubsidi dri pemerintah s "
"268","Positif",1,"pembagian bansos harus mudah cepat dan tepat sasaran  keren   bantuanbbmuntukrakyat bltbbmtepatsasaran "
